DEU2017;808;558;2253;543;791;772;1180;;
;5.175159454;3.441971302;8.937666893;5.019704342;1.065469861;3.155088902;6.167561531;;
;;;;;;;;;
selects2015;26;531;35;750;141;308;1213;1500;2599
;6.67080164;5.334072113;1.997693181;8.700203896;2.391611576;3.821601868;5.795716763;8.065705299;7.704856873
;;;;;;;;;
;;;;;;;;;
country;party_parlgov_id;average_perceived_left_right_position;source;;;;;;
DE;808;5.175159454;DEU2017;;;;;;
DE;558;3.441971302;DEU2017;;;;;;
DE;2253;8.937666893;DEU2017;;;;;;
DE;543;5.019704342;DEU2017;;;;;;
DE;791;1.065469861;DEU2017;;;;;;
DE;772;3.155088902;DEU2017;;;;;;
DE;1180;6.167561531;DEU2017;;;;;;
CH;26;6.67080164;selects2015;;;;;;
CH;531;5.334072113;selects2015;;;;;;
CH;35;1.997693181;selects2015;;;;;;
CH;750;8.700203896;selects2015;;;;;;
CH;141;2.391611576;selects2015;;;;;;
CH;308;3.821601868;selects2015;;;;;;
CH;1213;5.795716763;selects2015;;;;;;
CH;1500;8.065705299;selects2015;;;;;;
CH;2599;7.704856873;selects2015;;;;;;
